SMALL_AREA,Clusters
48061003,6
48061006,6
48065010,5
48065009,5
48064002,7
48047007,5
48047005,4
48030003,7
47132057,4
47132059,4
47016055,4
48033002,5
48032003,5
48030005,7
48051009,5
48051011,5
48016002,6
48012004,5
48047009,7
48060005,7
48036003,6
48016001,6
48016004,6
48062014,2
48021003,6
48038005,6
48021002,6
48069004,2
48068002,7
48022003,6
48069002,5
48068001,5
48039005,6
48039007,3
48039003,6
48039004,6
048039002/048039012,6
48039006,3
48039001,6
47270009,3
47016002,4
47178011,3
48010006,5
48010005,5
48010003,5
48007009,5
48007005,5
48066003,6
48066002,6
47250008,4
47054010,6
48008006,5
47054012,4
47016028,4
48010002,5
48007007,6
48046005,6
48046006,6
48046007,6
48026003,6
48014003,7
48014004,7
47132011,4
48066006,5
47132083,3
47132043,5
48008015,5
48010001,5
47016062,7
47016065,3
48019003,7
48062013,7
48023008,6
47016044,4
47136002,5
47016057,2
47016020,5
47016017,5
47016023,5
47016038,3
47136001,3
47263005,3
47178013,3
47270005,4
47016001,3
47016053,4
48066001,5
48009004,5
47016037,3
47016011,3
47054013,3
47178003,5
47178016,3
47072021,3
47178015,7
47235003,5
48022004,6
48025003,6
48068003,5
48001002,5
47235004,5
47132029,4
47132034,4
47235018,3
47235029,4
47235031,4
47016015,4
48009009,5
47072018,4
47072037,5
48008010,6
48008007,2
48008012,5
48023009,6
47054008,4
48028004,7
47016019,2
48006007,5
47028002,3
47016066,5
47016016,4
048051007/01,3
48009012,5
48009005,7
47243009,3
47243017,3
47028004,3
47016009,4
47016003,3
47016006,3
47016060,4
47016033,5
47016034,6
47235032,4
47132031,3
47132032,3
47132081,3
47235025,4
47235023,6
47178004,4
47072010,4
47072009,4
47072024,3
47072004,3
47072007,3
47235033,3
48002004,5
48044010,4
48042005,4
47132026,4
47132023,3
47235015,5
47235011,3
47235010,4
48013002,5
47132071,7
48001004,5
48044009,5
48009002,5
47072013,5
47072026,5
47132075,3
47132017,3
47132076,4
48051013,7
48051008,3
47132078,4
47132067,3
48009001,5
47132008,4
47132073,3
47016027,5
47072028,3
47072031,5
47072027,3
47072030,2
47132012,4
47132001,4
47016008,3
47016052,4
47016024,5
48070006,5
48070010,6
47132070,4
47132039,3
48009008,5
48007004,5
48008013,5
47132060,4
48070003,5
47132020,5
48070011,4
48044007,2
48041001,4
48053006,7
48012010,7
48024006,6
47132062,3
47132056,3
47243001,5
47072015,4
47235005,4
48005004,6
48048003,5
47132058,4
47132044,5
47114005,5
47054011,3
47132065,4
47132066,4
47016058,3
48070004,3
48070002,5
47235014,4
47132041,5
47132042,3
47132068,4
47132077,5
47132004,5
47132038,5
47132021,4
48009010,5
48008016,5
47072014,2
47033012,5
47239003,4
47239008,3
48004001,5
48074001,5
47064010,3
47279015,3
47324005,6
47245006,3
48062007,5
47140005,3
047245004/01,6
47246007,5
47324023,3
47324025,3
47245013,3
47245014,3
47224004,3
47277012,3
47267007,5
